Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.11 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;301,3;K;V;3235,93
2023.10.11 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;340,52;K;V;3657,17
2023.10.11 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;333,07;K;V;3577,08
2023.10.11 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;335,22;K;V;3600,15
2023.10.11 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;335,72;K;V;3605,57
2023.10.11 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;324,62;K;V;3486,41
2023.10.11 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;238,35;K;V;2559,83
2023.10.11 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;246,38;K;V;2646,06
2023.10.11 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;255,73;K;V;2746,52
2023.10.11 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;267,51;K;V;2872,98
2023.10.11 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;260,09;K;V;2793,36
2023.10.11 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;260,64;K;V;2799,19
2023.10.11 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;253,13;K;V;2718,58
2023.10.11 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;294,73;K;V;3165,39
2023.10.11 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;258,58;K;V;2777,06
2023.10.11 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;250,53;K;V;2690,66
2023.10.11 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;229,14;K;V;2460,94
2023.10.11 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;228,87;K;V;2457,98
2023.10.11 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;222,08;K;V;2385,15
2023.10.11 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;228,52;K;V;2454,28
2023.10.11 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,81;K;V;201,98
2023.10.11 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,69;K;V;189,96
2023.10.11 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,78;K;V;201,67
2023.10.11 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,65;K;V;189,54
2023.10.11 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,71;K;V;200,9
2023.10.11 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,55;K;V;188,48
2023.10.11 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,45;K;V;187,45
2023.10.11 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,4;K;V;197,65
2023.10.11 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;15,07;K;V;161,82
2023.10.11 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,21;K;V;184,81
