Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.05 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;222,59;K;V;2390,55
2023.10.05 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;223,76;K;V;2403,19
2023.10.05 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;228,68;K;V;2455,93
2023.10.05 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;214,35;K;V;2302,08
2023.10.05 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;285,82;K;V;3069,68
2023.10.05 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;284,67;K;V;3057,34
2023.10.05 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;274,25;K;V;2945,35
2023.10.05 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;275,33;K;V;2957,01
2023.10.05 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;265,35;K;V;2849,85
2023.10.05 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;223,7;K;V;2402,54
2023.10.05 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;220,3;K;V;2365,99
2023.10.05 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;233,76;K;V;2510,53
2023.10.05 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;232,98;K;V;2502,19
2023.10.05 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;225,12;K;V;2417,79
2023.10.05 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;231,21;K;V;2483,19
2023.10.05 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,35;K;V;2323,6
2023.10.05 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;215,98;K;V;2319,63
2023.10.05 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;222,92;K;V;2394,1
2023.10.05 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;209,34;K;V;2248,23
2023.10.05 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;209,45;K;V;2249,42
2023.10.05 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,99;K;V;203,92
2023.10.05 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,77;K;V;180,12
2023.10.05 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;15,61;K;V;167,69
2023.10.05 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,89;K;V;202,82
2023.10.05 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,88;K;V;213,49
2023.10.05 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,48;K;V;176,95
2023.10.05 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,56;K;V;199,34
2023.10.05 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,48;K;V;198,45
2023.10.05 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,41;K;V;197,72
2023.10.05 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;19,51;K;V;209,49
