Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.01.09 06:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1297,240;K;V;13637,75800
2023.01.09 07:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1214,570;K;V;12768,65600
2023.01.09 08:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1377,680;K;V;14483,41600
2023.01.09 09:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1234,940;K;V;12982,80400
2023.01.09 10:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1234,410;K;V;12977,23200
2023.01.09 11:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1233,340;K;V;12965,98300
2023.01.09 12:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1109,600;K;V;11665,11700
2023.01.09 13:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1334,660;K;V;14031,15100
2023.01.09 14:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1046,950;K;V;11006,48400
2023.01.09 15:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1047,420;K;V;11011,42500
2023.01.09 16:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1088,650;K;V;11444,87200
2023.01.09 17:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1088,370;K;V;11441,92800
2023.01.09 18:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1067,810;K;V;11225,78300
2023.01.09 19:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1170,370;K;V;12303,98600
2023.01.09 20:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1394,290;K;V;14658,03500
2023.01.09 21:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1659,460;K;V;17445,74200
2023.01.09 22:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1435,070;K;V;15086,75100
