Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.12 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;363,94;K;V;3908,6
2023.10.12 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;365,27;K;V;3922,95
2023.10.12 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;307,78;K;V;3305,54
2023.10.12 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;320,51;K;V;3442,17
2023.10.12 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;364,15;K;V;3910,93
2023.10.12 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;320,44;K;V;3441,42
2023.10.12 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;336,45;K;V;3613,44
2023.10.12 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;361,41;K;V;3881,46
2023.10.12 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;357,64;K;V;3841,01
2023.10.12 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;357,14;K;V;3835,57
2023.10.12 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;275,08;K;V;2954,3
2023.10.12 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;267,36;K;V;2871,38
2023.10.12 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;266,74;K;V;2864,73
2023.10.12 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;252,76;K;V;2714,58
2023.10.12 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;231,08;K;V;2481,73
2023.10.12 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;229,52;K;V;2464,95
2023.10.12 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;228,43;K;V;2453,27
2023.10.12 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;242,37;K;V;2603,01
2023.10.12 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;201,16;K;V;2160,46
2023.10.12 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;215,31;K;V;2312,34
2023.10.12 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,78;K;V;201,69
2023.10.12 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,8;K;V;201,9
2023.10.12 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,77;K;V;201,55
2023.10.12 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,71;K;V;200,91
2023.10.12 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,52;K;V;188,19
2023.10.12 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,35;K;V;175,59
2023.10.12 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;14,09;K;V;151,31
2023.10.12 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,16;K;V;173,5
2023.10.12 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,23;K;V;195,82
2023.10.12 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,1;K;V;172,94
