Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.14 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;307,12;K;V;3298,45
2023.10.14 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;297,31;K;V;3193,01
2023.10.14 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;294,65;K;V;3164,46
2023.10.14 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;298,67;K;V;3207,62
2023.10.14 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;297,55;K;V;3195,66
2023.10.14 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;288,09;K;V;3093,99
2023.10.14 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;281,62;K;V;3024,6
2023.10.14 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;276,82;K;V;2973
2023.10.14 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;298,16;K;V;3202,2
2023.10.14 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;283,56;K;V;3045,38
2023.10.14 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;233;K;V;2502,41
2023.10.14 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;232,87;K;V;2500,94
2023.10.14 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;232,07;K;V;2492,34
2023.10.14 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;231,03;K;V;2481,18
2023.10.14 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,53;K;V;2325,51
2023.10.14 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;215,32;K;V;2312,54
2023.10.14 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;194,41;K;V;2087,97
2023.10.14 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,01;K;V;2319,86
2023.10.14 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,05;K;V;2320,37
2023.10.14 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;202,64;K;V;2176,31
2023.10.14 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,38;K;V;175,96
2023.10.14 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;15,3;K;V;164,28
2023.10.14 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,56;K;V;199,3
2023.10.14 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;15,23;K;V;163,54
2023.10.14 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,26;K;V;174,61
2023.10.14 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,19;K;V;173,82
2023.10.14 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,14;K;V;173,3
2023.10.14 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;13,91;K;V;149,37
2023.10.14 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,02;K;V;182,82
2023.10.14 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;14,91;K;V;160,16
