Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;244,190;K;V;2622,505
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;195,310;K;V;2097,553
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;200,080;K;V;2148,781
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;173,260;K;V;1860,745
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;212,200;K;V;2278,945
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;185,456;K;V;1991,725
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;100,000;K;V;1073,961
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;99,000;K;V;1063,221
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;99,000;K;V;1063,221
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;97,000;K;V;1041,742
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;95,000;K;V;1020,263
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;96,000;K;V;1031,002
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;14,000;K;V;150,355
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;13,000;K;V;139,615
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;18,000;K;V;193,313
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;12,000;K;V;128,875
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;12,000;K;V;128,875
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;18,000;K;V;193,313
2022.07.23 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;278,610;K;V;2992,162
2022.07.23 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;256,400;K;V;2753,636
2022.07.23 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;142,260;K;V;1527,817
2022.07.23 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;185,430;K;V;1991,446
2022.07.23 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;153,250;K;V;1645,845
2022.07.23 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;169,120;K;V;1816,283
2022.07.23 06:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.23 07:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.23 08:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.23 09:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.23 10:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.23 11:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;257,000;K;V;2760,079
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;258,000;K;V;2770,819
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;263,000;K;V;2824,517
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;267,000;K;V;2867,475
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;271,000;K;V;2910,434
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;273,000;K;V;2931,913
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;1,000;K;V;10,740
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;180,000;K;V;1933,130
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;172,000;K;V;1847,213
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;166,000;K;V;1782,775
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;133,000;K;V;1428,368
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;186,000;K;V;1997,567
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;183,000;K;V;1965,348
2022.07.23 06:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.23 07:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.23 08:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.23 09:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.23 10:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.23 11:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.23 06:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.23 07:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.23 08:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.23 09:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.23 10:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.23 11:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
