Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;24,910;K;V;267,524
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;26,790;K;V;287,714
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;32,300;K;V;346,889
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;28,440;K;V;305,434
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;22,610;K;V;242,823
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;27,990;K;V;300,602
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;136,000;K;V;1460,587
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;121,000;K;V;1299,493
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;117,000;K;V;1256,534
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;157,000;K;V;1686,119
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;150,000;K;V;1610,941
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;136,000;K;V;1460,587
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;14,000;K;V;150,355
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;18,000;K;V;193,313
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;13,000;K;V;139,615
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;18,000;K;V;193,313
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;12,000;K;V;128,875
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;12,000;K;V;128,875
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;284,390;K;V;3054,237
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;139,750;K;V;1500,860
2022.07.17 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;136,760;K;V;1468,749
2022.07.17 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;168,920;K;V;1814,135
2022.07.17 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;159,010;K;V;1707,705
2022.07.17 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;159,230;K;V;1710,068
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;184,000;K;V;1976,088
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;183,000;K;V;1965,348
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;184,000;K;V;1976,088
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;184,000;K;V;1976,088
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;187,000;K;V;2008,307
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;184,000;K;V;1976,088
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;5,000;K;V;53,698
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;5,000;K;V;53,698
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;122,000;K;V;1310,232
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;150,000;K;V;1610,941
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;150,000;K;V;1610,941
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;169,000;K;V;1814,994
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;151,000;K;V;1621,681
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;153,000;K;V;1643,160
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N0600008660004;129279;0,000;K;P;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;92,000;K;V;988,044
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;116,000;K;V;1245,795
2022.07.17 08:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;116,000;K;V;1245,795
2022.07.17 09:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;77,000;K;V;826,950
2022.07.17 10:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;85,000;K;V;912,867
2022.07.17 11:00:00;39X60FOGAZ00000V;39N0600008660004;2011/31;77,000;K;V;826,950
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;2,090;K;V;22,446
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;1,190;K;V;12,780
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;2,090;K;V;22,446
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;0,700;K;V;7,518
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;0,890;K;V;9,558
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060001450000N;3403567136;1,390;K;V;14,928
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060001450000N;2014/20;0,000;K;V;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060001450000N;SC09000004010;0,000;K;P;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060001458000K;2011/33;0,000;K;V;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060006032000D;921937;1,486;K;V;15,959
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,594;K;V;6,379
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,991;K;V;10,643
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,793;K;V;8,517
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,495;K;V;5,316
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060006032000D;921937;0,000;K;P;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;3,830;K;V;41,133
2022.07.17 07:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;0,000;K;V;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;5,750;K;V;61,753
2022.07.17 09:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;0,000;K;V;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;1,880;K;V;20,190
2022.07.17 11:00:00;39X60FOGAZ00000V;39N060006165000A;3403567151;3,750;K;V;40,274
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.17 08:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.17 09:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.17 10:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;V;0,000
2022.07.17 11:00:00;39X60FOGAZ00000V;39N0600062560004;15081440;0,000;K;P;0,000
2022.07.17 06:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,297;K;V;3,190
2022.07.17 07:00:00;39X60FOGAZ00000V;39N0600062560004;15091084;0,396;K;V;4,253
