Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;291,910;K;V;3134,999
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;257,620;K;V;2766,738
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;269,520;K;V;2894,539
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;270,222;K;V;2902,078
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;231,912;K;V;2490,644
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;195,815;K;V;2102,976
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;312,000;K;V;3350,758
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;307,000;K;V;3297,060
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;114,000;K;V;1224,315
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;0,000;K;V;0,000
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;0,000;K;V;0,000
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;0,000;K;V;0,000
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;36,000;K;V;386,626
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;69,000;K;V;741,033
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;64,000;K;V;687,335
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;71,000;K;V;762,512
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;68,000;K;V;730,293
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;59,000;K;V;633,637
2022.07.21 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;335,070;K;V;3598,521
2022.07.21 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;295,810;K;V;3176,884
2022.07.21 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;422,600;K;V;4538,559
2022.07.21 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;319,770;K;V;3434,205
2022.07.21 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;404,842;K;V;4347,845
2022.07.21 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;0,000;K;P;0,000
2022.07.21 06:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.21 07:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.21 08:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.21 09:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.21 10:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.21 11:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;182,000;K;V;1954,609
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;180,000;K;V;1933,130
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;181,000;K;V;1943,869
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;183,000;K;V;1965,348
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;207,000;K;V;2223,099
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;206,000;K;V;2212,359
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;1,000;K;V;10,740
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;3,000;K;V;32,219
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;80,000;K;V;859,169
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;80,000;K;V;859,169
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;288,000;K;V;3093,007
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;416,000;K;V;4467,677
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;404,000;K;V;4338,802
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;394,000;K;V;4231,406
2022.07.21 06:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.21 07:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.21 08:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.21 09:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.21 10:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.21 11:00:00;39X60FOGAZ00000V;39N060000445000C;2008/17;0,000;K;V;0,000
2022.07.21 06:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.21 07:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.21 08:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.21 09:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
2022.07.21 10:00:00;39X60FOGAZ00000V;39N0600008500003;SC07000002010;0,000;K;P;0,000
