Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.18 09:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.18 10:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.18 11:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;207,000;K;V;2223,099
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;200,000;K;V;2147,922
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;216,000;K;V;2319,755
2022.07.18 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;266,000;K;V;2856,736
2022.07.18 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;263,000;K;V;2824,517
2022.07.18 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;182,000;K;V;1954,609
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;138,000;K;V;1482,066
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;127,000;K;V;1363,930
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;126,000;K;V;1353,191
2022.07.18 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;126,000;K;V;1353,191
2022.07.18 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;123,000;K;V;1320,972
2022.07.18 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;138,000;K;V;1482,066
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;57,000;K;V;612,158
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;67,000;K;V;719,554
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;66,000;K;V;708,814
2022.07.18 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;55,000;K;V;590,678
2022.07.18 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;55,000;K;V;590,678
2022.07.18 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;47,000;K;V;504,762
2022.07.18 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;168,000;K;V;1804,254
2022.07.18 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;154,000;K;V;1653,900
2022.07.18 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;130,000;K;V;1396,149
2022.07.18 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;148,000;K;V;1589,462
2022.07.18 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;155,000;K;V;1664,639
2022.07.18 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;181,000;K;V;1943,869
2022.07.18 06:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.18 07:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.18 08:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.18 09:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.18 10:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.18 11:00:00;39X60FOGAZ00000V;39N0600002750008;SC08000006330;0,000;K;V;0,000
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;178,000;K;V;1911,650
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;176,000;K;V;1890,171
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;176,000;K;V;1890,171
2022.07.18 09:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;176,000;K;V;1890,171
2022.07.18 10:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;178,000;K;V;1911,650
2022.07.18 11:00:00;39X60FOGAZ00000V;39N060000310000P;2005/06;175,000;K;V;1879,431
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;6,000;K;V;64,438
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;5,000;K;V;53,698
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.18 09:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.18 10:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;5,000;K;V;53,698
2022.07.18 11:00:00;39X60FOGAZ00000V;39N060000316000W;2007/26;4,000;K;V;42,958
2022.07.18 06:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;177,000;K;V;1900,911
2022.07.18 07:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;182,000;K;V;1954,609
2022.07.18 08:00:00;39X60FOGAZ00000V;39N060000435000I;2009/04;174,000;K;V;1868,692
