Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2022.07.19 06:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.19 07:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.19 08:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.19 09:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.19 10:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.19 11:00:00;39X60FOGAZ00000V;39N060000001000A;586309;0,000;K;P;0,000
2022.07.19 06:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;191,030;K;V;2051,587
2022.07.19 07:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;205,370;K;V;2205,593
2022.07.19 08:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;264,380;K;V;2839,338
2022.07.19 09:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;287,600;K;V;3088,711
2022.07.19 10:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;267,220;K;V;2869,838
2022.07.19 11:00:00;39X60FOGAZ00000V;39N060000001000A;SC08000001933;181,150;K;V;1945,480
2022.07.19 06:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;220,000;K;V;2362,714
2022.07.19 07:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;244,000;K;V;2620,464
2022.07.19 08:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;263,000;K;V;2824,517
2022.07.19 09:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;252,000;K;V;2706,381
2022.07.19 10:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;265,000;K;V;2845,996
2022.07.19 11:00:00;39X60FOGAZ00000V;39N060000190000S;2008/24;251,000;K;V;2695,642
2022.07.19 06:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;17,000;K;V;182,573
2022.07.19 07:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;12,000;K;V;128,875
2022.07.19 08:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;29,000;K;V;311,449
2022.07.19 09:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;38,000;K;V;408,105
2022.07.19 10:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;36,000;K;V;386,626
2022.07.19 11:00:00;39X60FOGAZ00000V;39N060000210000W;2007/30;41,000;K;V;440,324
2022.07.19 06:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;418,680;K;V;4496,459
2022.07.19 07:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;508,400;K;V;5460,017
2022.07.19 08:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;450,300;K;V;4836,046
2022.07.19 09:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;488,490;K;V;5246,191
2022.07.19 10:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;463,800;K;V;4981,030
2022.07.19 11:00:00;39X60FOGAZ00000V;39N0600002750008;16/002;477,730;K;V;5130,633
