Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.10 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;249,46;K;V;2679,18
2023.10.10 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;252,12;K;V;2707,75
2023.10.10 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;256,13;K;V;2750,76
2023.10.10 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;258,74;K;V;2778,8
2023.10.10 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;251,2;K;V;2697,8
2023.10.10 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;313,22;K;V;3363,88
2023.10.10 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;317,81;K;V;3413,22
2023.10.10 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;305,28;K;V;3278,68
2023.10.10 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;298,84;K;V;3209,45
2023.10.10 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;327,59;K;V;3518,31
2023.10.10 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;238,55;K;V;2562,03
2023.10.10 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;231,59;K;V;2487,21
2023.10.10 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;246,13;K;V;2643,4
2023.10.10 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;245,96;K;V;2641,55
2023.10.10 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;224,58;K;V;2411,96
2023.10.10 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;244,76;K;V;2628,66
2023.10.10 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;251,33;K;V;2699,24
2023.10.10 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;223,54;K;V;2400,8
2023.10.10 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;216,99;K;V;2330,46
2023.10.10 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;224,16;K;V;2407,4
2023.10.10 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,62;K;V;199,95
2023.10.10 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,64;K;V;200,21
2023.10.10 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,56;K;V;188,58
2023.10.10 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,69;K;V;200,68
2023.10.10 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,68;K;V;200,63
2023.10.10 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,55;K;V;188,53
2023.10.10 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,53;K;V;188,22
2023.10.10 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,48;K;V;187,78
2023.10.10 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,4;K;V;186,83
2023.10.10 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,29;K;V;174,98
