Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.10.15 06:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;277,99;K;V;2985,6
2023.10.15 07:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;279,66;K;V;3003,52
2023.10.15 08:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;270,18;K;V;2901,73
2023.10.15 09:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;275,24;K;V;2955,99
2023.10.15 10:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;283,77;K;V;3047,62
2023.10.15 11:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;277,63;K;V;2981,73
2023.10.15 12:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;277,71;K;V;2982,52
2023.10.15 13:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;279,91;K;V;3006,23
2023.10.15 14:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;271,36;K;V;2914,33
2023.10.15 15:00:00;39X60DDGAZ00000F;39N030000261000X;000034240400001174;283,6;K;V;3045,78
2023.10.15 06:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;233,97;K;V;2512,77
2023.10.15 07:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;220,02;K;V;2362,97
2023.10.15 08:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;233,82;K;V;2511,2
2023.10.15 09:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;233,7;K;V;2509,86
2023.10.15 10:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;218,93;K;V;2351,27
2023.10.15 11:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;232,72;K;V;2499,33
2023.10.15 12:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;232,99;K;V;2502,27
2023.10.15 13:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;219;K;V;2352,06
2023.10.15 14:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;205,29;K;V;2204,78
2023.10.15 15:00:00;39X60DDGAZ00000F;39N030307824000P;000034240700005121;205,4;K;V;2205,96
2023.10.15 06:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,38;K;V;175,86
2023.10.15 07:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;18,6;K;V;199,75
2023.10.15 08:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,54;K;V;188,33
2023.10.15 09:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,47;K;V;176,83
2023.10.15 10:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,57;K;V;188,66
2023.10.15 11:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,46;K;V;176,72
2023.10.15 12:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,55;K;V;188,53
2023.10.15 13:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,51;K;V;188,1
2023.10.15 14:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;17,51;K;V;188,1
2023.10.15 15:00:00;39X60DDGAZ00000F;39N030324154000P;000034241301292214;16,41;K;V;176,23
