Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.01.08 06:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1325,190;K;V;13970,82800
2023.01.08 07:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1325,310;K;V;13972,09300
2023.01.08 08:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1222,960;K;V;12893,06700
2023.01.08 09:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1448,640;K;V;15272,30100
2023.01.08 10:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1407,170;K;V;14835,10300
2023.01.08 11:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1324,000;K;V;13958,28200
2023.01.08 12:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1282,640;K;V;13522,24400
2023.01.08 13:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1117,430;K;V;11780,51600
2023.01.08 14:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1219,239;K;V;12853,83900
2023.01.08 15:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1178,090;K;V;12420,02500
2023.01.08 16:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1136,740;K;V;11984,09200
2023.01.08 17:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1136,110;K;V;11977,45000
2023.01.08 18:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1053,070;K;V;11102,00000
2023.01.08 19:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;991,170;K;V;10449,41900
2023.01.08 20:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1011,219;K;V;10660,78600
2023.01.08 21:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1094,100;K;V;11534,55900
2023.01.08 22:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1196,260;K;V;12611,58200
2023.01.08 23:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1196,120;K;V;12610,10600
2023.01.09 00:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1134,010;K;V;11955,31100
2023.01.09 01:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1154,080;K;V;12166,89900
2023.01.09 02:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1379,360;K;V;14541,91600
