Óra;Elosztó;Mérési pont;Gázmérõ gyártási száma;Órai fogyasztás (m3);Órai fogyasztás típusa;Órai adat státusza;Órai fogyasztás (kWh)
2023.01.07 06:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1263,980;K;V;13315,38900
2023.01.07 07:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1511,140;K;V;15919,09500
2023.01.07 08:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1551,920;K;V;16348,69100
2023.01.07 09:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1531,770;K;V;16136,42100
2023.01.07 10:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1490,620;K;V;15702,92700
2023.01.07 11:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1345,950;K;V;14178,90200
2023.01.07 12:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1571,340;K;V;16553,27100
2023.01.07 13:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1488,720;K;V;15682,91100
2023.01.07 14:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1262,410;K;V;13298,85000
2023.01.07 15:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1344,570;K;V;14164,36400
2023.01.07 16:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1365,920;K;V;14389,27500
2023.01.07 17:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1468,600;K;V;15470,95700
2023.01.07 18:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1427,490;K;V;15037,88400
2023.01.07 19:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1428,170;K;V;15045,04800
2023.01.07 20:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1468,590;K;V;15470,85200
2023.01.07 21:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1428,850;K;V;15052,21100
2023.01.07 22:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1386,990;K;V;14611,23700
2023.01.07 23:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1243,730;K;V;13102,06600
2023.01.08 00:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1264,210;K;V;13317,81200
2023.01.08 01:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1284,460;K;V;13531,13600
2023.01.08 02:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1182,330;K;V;12455,24800
2023.01.08 03:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1202,080;K;V;12663,30400
2023.01.08 04:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1263,850;K;V;13314,02000
2023.01.08 05:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600005894;1201,799;K;V;12660,34400
2023.01.07 06:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1677,272;K;V;17669,21100
2023.01.07 07:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1718,860;K;V;18107,32000
2023.01.07 08:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1717,098;K;V;18088,75800
2023.01.07 09:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1696,386;K;V;17870,56700
2023.01.07 10:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1719,725;K;V;18116,43200
2023.01.07 11:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1698,492;K;V;17892,75300
2023.01.07 12:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1677,279;K;V;17669,28500
2023.01.07 13:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1703,349;K;V;17943,91900
2023.01.07 14:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1680,054;K;V;17698,51800
2023.01.07 15:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1680,365;K;V;17701,79400
2023.01.07 16:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1700,769;K;V;17916,74000
2023.01.07 17:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1697,870;K;V;17886,20100
2023.01.07 18:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1719,612;K;V;18115,24200
2023.01.07 19:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1695,119;K;V;17857,22000
2023.01.07 20:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1717,924;K;V;18097,45900
2023.01.07 21:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1718,484;K;V;18103,35900
2023.01.07 22:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1721,420;K;V;18134,28800
2023.01.07 23:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1724,107;K;V;18162,59400
2023.01.08 00:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1747,607;K;V;18410,15500
2023.01.08 01:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1725,150;K;V;18173,58200
2023.01.08 02:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1724,961;K;V;18171,59100
2023.01.08 03:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1746,625;K;V;18399,81000
2023.01.08 04:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1723,167;K;V;18152,69200
2023.01.08 05:00:00;39X60TIGAZ00000B;39N1125800560006;K36950600006769;1744,931;K;V;18381,96400
2023.01.07 06:00:00;39X60TIGAZ00000B;39N112580169000F;K46950600006747;309,089;K;V;3256,09600
2023.01.07 07:00:00;39X60TIGAZ00000B;39N112580169000F;K46950600006747;221,509;K;V;2333,48500
2023.01.07 08:00:00;39X60TIGAZ00000B;39N112580169000F;K46950600006747;209,615;K;V;2208,18800
2023.01.07 09:00:00;39X60TIGAZ00000B;39N112580169000F;K46950600006747;244,068;K;V;2571,13300
